effect_id	effect_type	value_mode	resource_type	power_min	power_max	percent_value	damage_element	damage_type	damage_mode	calculated_power	bonus_accuracy	bonus_crit_rate	ignore_defense_rate	fixed_damage_bonus	status_id	status_power	modifier_kind	stat_name	stat_flat	stat_percent	duration_type	duration_value	teleport_mode	teleport_min_range	teleport_max_range	warp_point_id	grant_item_id	grant_item_amount	grant_currency_amount	skill_id	recipe_id	identify_all	document_text	spawn_object_id	curse_status_pool	curse_status_power_overrides	trigger_chance
potion_restore_hp	restore_resource	flat	hp	500	500	0.0	neutral	physical	direct	1.0	0.0	0.0	0.0	0.0		0			0	0.0	none	0.0	random	0	999			1	0			false
apple_restore_hunger	restore_resource	flat	hunger	10	10	0.0	neutral	physical	direct	1.0	0.0	0.0	0.0	0.0		0			0	0.0	none	0.0	random	0	999			1	0			false
healing_potion_restore_hp	restore_resource	flat	hp	30	30	0.0	neutral	physical	direct	1.0	0.0	0.0	0.0	0.0		0			0	0.0	none	0.0	random	0	999			1	0			false
mushroom_bad_poison	apply_status	flat		0	0	0.0	neutral	physical	direct	1.0	0.0	0.0	0.0	0.0	poison	1			0	0.0	time	3600.0	random	0	999			1	0			false
paralysis_cure_potion_cure_paralysis	cure_status	flat		0	0	0.0	neutral	physical	direct	1.0	0.0	0.0	0.0	0.0	paralysis	0			0	0.0	none	0.0	random	0	999			1	0			false
poison_cure_potion_cure_poison	cure_status	flat		0	0	0.0	neutral	physical	direct	1.0	0.0	0.0	0.0	0.0	poison	0			0	0.0	none	0.0	random	0	999			1	0			false
potion_of_strength_attack_buff	apply_modifier	flat		0	0	0.0	neutral	physical	direct	1.0	0.0	0.0	0.0	0.0		0	buff	attack	0	0.2	time	7200.0	random	0	999			1	0			false
teleport_stone_teleport	teleport	flat		0	0	0.0	neutral	physical	direct	1.0	0.0	0.0	0.0	0.0		0			0	0.0	none	0.0	random	3	999			1	0			false
fire_bottle_burning	apply_status	flat		0	0	0.0	neutral	physical	direct	1.0	0.0	0.0	0.0	0.0	burning	5			0	0.0	time	10.0	random	0	999			1	0			false
frost_bottle_frostbite	apply_status	flat		0	0	0.0	neutral	physical	direct	1.0	0.0	0.0	0.0	0.0	frostbite	2			0	0.0	time	10.0	random	0	999			1	0			false
